ident,type,origin,destination,departure,estimated_arrival_time
DAL1241,A321,Hartsfield-Jackson Intl ( KATL ),Portland Intl Jetport ( KPWM ),Wed 09:38PM EDT,Wed 11:38PM EDT
DAL1251,B739,Hartsfield-Jackson Intl ( KATL ),Tucson Intl ( KTUS ),Wed 08:57PM EDT,Wed 09:28PM MST
DAL126,B764,John F Kennedy Intl ( KJFK ),Adolfo Suárez Madrid-Barajas ( MAD / LEMD ),Wed 07:32PM EDT,Thu 07:17AM CET
DAL1283,B712,Hartsfield-Jackson Intl ( KATL ),Harrisburg Intl ( KMDT ),Wed 10:05PM EDT,Wed 11:31PM EDT
DAL1284,A321,Hartsfield-Jackson Intl ( KATL ),Houston Bush Int'ctl ( KIAH ),Wed 10:11PM EDT,Wed 11:09PM CDT
DAL1287,A319,Los Angeles Intl ( KLAX ),Houston Bush Int'ctl ( KIAH ),Wed 07:35PM PDT,Thu 12:17AM CDT
DAL2846,B712,Minneapolis/St Paul Intl ( KMSP ),Newark Liberty Intl ( KEWR ),Wed 08:18PM CDT,Thu 12:12AM EDT
DAL286,B763,John F Kennedy Intl ( KJFK ),Malpensa Int'l ( MXP / LIMC ),Wed 05:56PM EDT,Thu 05:59AM CET
DAL2861,B739,Seattle-Tacoma Intl ( KSEA ),Los Angeles Intl ( KLAX ),Wed 06:10PM PDT,Wed 08:08PM PDT
DAL2865,B739,Hartsfield-Jackson Intl ( KATL ),Gerald R Ford Intl ( KGRR ),Wed 10:25PM EDT,Wed 11:46PM EDT
DAL2871,B739,Minneapolis/St Paul Intl ( KMSP ),Bradley Intl ( KBDL ),Wed 08:34PM CDT,Wed 11:31PM EDT
DAL288,B764,John F Kennedy Intl ( KJFK ),Marco Polo Int'l (Marco Polo Venice) ( VCE / LIPZ ),Wed 09:34PM EDT,Thu 09:52AM CET
DAL2887,A321,Orlando Intl ( KMCO ),Boston Logan Intl ( KBOS ),Wed 09:31PM EDT,Wed 11:53PM EDT
DAL2896,B739,Boston Logan Intl ( KBOS ),Detroit Metro Wayne Co ( KDTW ),Wed 10:21PM EDT,Thu 12:07AM EDT
DAL2903,BCS1,Kansas City Intl ( KMCI ),Salt Lake City Intl ( KSLC ),Wed 08:06PM CDT,Wed 09:29PM MDT
DAL2929,B712,Minneapolis/St Paul Intl ( KMSP ),Charlotte/Douglas Intl ( KCLT ),Wed 07:53PM CDT,Wed 10:49PM EDT
DAL2932,B739,Minneapolis/St Paul Intl ( KMSP ),Raleigh-Durham Intl ( KRDU ),Wed 08:37PM CDT,Wed 11:34PM EDT
DAL2948,B738,Hartsfield-Jackson Intl ( KATL ),Green Bay/Austin Straubel Intl ( KGRB ),Wed 09:58PM EDT,Wed 10:40PM CDT
DAL295,A359,Hartsfield-Jackson Intl ( KATL ),Tokyo Int'l (Haneda) ( HND / RJTT ),Wed 11:32AM EDT,Thu 01:47PM JST
DAL2954,B739,Minneapolis/St Paul Intl ( KMSP ),Bozeman Yellowstone Intl ( KBZN ),Wed 07:20PM CDT,Wed 08:55PM MDT
DAL2959,B712,Hartsfield-Jackson Intl ( KATL ),Wichita Eisenhower ( KICT ),Wed 09:31PM EDT,Wed 10:20PM CDT
DAL2967,A321,Minneapolis/St Paul Intl ( KMSP ),Dallas-Fort Worth Intl ( KDFW ),Wed 09:34PM CDT,Wed 11:47PM CDT
DAL2989,A320,Detroit Metro Wayne Co ( KDTW ),Bradley Intl ( KBDL ),Wed 09:38PM EDT,Wed 10:49PM EDT
DAL30,A339,Hartsfield-Jackson Intl ( KATL ),London Heathrow ( LHR / EGLL ),Wed 07:58PM EDT,Thu 07:14AM GMT
DAL300,A321,Hartsfield-Jackson Intl ( KATL ),Boston Logan Intl ( KBOS ),Wed 09:31PM EDT,Wed 11:32PM EDT
DAL303,A319,Dallas-Fort Worth Intl ( KDFW ),Boston Logan Intl ( KBOS ),Wed 08:23PM CDT,Thu 12:16AM EDT
DAL3034,B739,Hartsfield-Jackson Intl ( KATL ),Daytona Beach Intl ( KDAB ),Wed 10:47PM EDT,Wed 11:36PM EDT
DAL3070,B712,Hartsfield-Jackson Intl ( KATL ),Wilmington Intl ( KILM ),Wed 10:48PM EDT,Wed 11:35PM EDT
DAL308,B753,Southwest Florida Intl ( KRSW ),Minneapolis/St Paul Intl ( KMSP ),Wed 09:27PM EDT,Wed 11:24PM CDT
DAL309,A333,Daniel K Inouye Intl ( PHNL ),Hartsfield-Jackson Intl ( KATL ),Wed 04:30PM HST,Thu 06:37AM EDT
DAL310,A333,Daniel K Inouye Intl ( PHNL ),Detroit Metro Wayne Co ( KDTW ),Wed 04:00PM HST,Thu 06:08AM EDT
DAL311,B763,Los Angeles Intl ( KLAX ),Ellison Onizuka Kona Intl At Keahole ( KOA / PHKO ),Wed 03:23PM PDT,Wed 05:25PM HST
DAL3111,B712,Hartsfield-Jackson Intl ( KATL ),Baton Rouge Metro ( KBTR ),Wed 10:35PM EDT,Wed 10:49PM CDT
DAL312,A333,Minneapolis/St Paul Intl ( KMSP ),Daniel K Inouye Intl ( PHNL ),Wed 02:39PM CDT,Wed 05:54PM HST
DAL314,A320,Detroit Metro Wayne Co ( KDTW ),Denver Intl ( KDEN ),Wed 08:30PM EDT,Wed 09:14PM MDT
DAL315,A321,Boston Logan Intl ( KBOS ),Fort Lauderdale Intl ( KFLL ),Wed 10:09PM EDT,Thu 01:04AM EDT
DAL3153,B738,Hartsfield-Jackson Intl ( KATL ),Indianapolis Intl ( KIND ),Wed 10:20PM EDT,Wed 11:20PM EDT
DAL3167,B712,Hartsfield-Jackson Intl ( KATL ),James M Cox Dayton Intl ( KDAY ),Wed 09:52PM EDT,Wed 10:48PM EDT
DAL3178,B712,Hartsfield-Jackson Intl ( KATL ),Gulfport-Biloxi Intl ( KGPT ),Wed 10:25PM EDT,Wed 10:22PM CDT
DAL32,A339,Hartsfield-Jackson Intl ( KATL ),London Heathrow ( LHR / EGLL ),Wed 09:41PM EDT,Thu 09:59AM GMT
DAL324,A21N,Boston Logan Intl ( KBOS ),Seattle-Tacoma Intl ( KSEA ),Wed 07:20PM EDT,Wed 10:08PM PDT
DAL328,A21N,Orlando Intl ( KMCO ),Seattle-Tacoma Intl ( KSEA ),Wed 06:47PM EDT,Wed 09:54PM PDT
DAL331,A21N,Hartsfield-Jackson Intl ( KATL ),Los Angeles Intl ( KLAX ),Wed 10:26PM EDT,Wed 11:58PM PDT
DAL340,B752,Seattle-Tacoma Intl ( KSEA ),Ellison Onizuka Kona Intl At Keahole ( KOA / PHKO ),Wed 04:17PM PDT,Wed 07:02PM HST
DAL344,A21N,Seattle-Tacoma Intl ( KSEA ),Kahului ( OGG / PHOG ),Wed 02:10PM PDT,Wed 04:54PM HST
DAL345,B752,Seattle-Tacoma Intl ( KSEA ),Lihue ( LIH / PHLI ),Wed 02:40PM PDT,Wed 05:22PM HST
DAL353,B763,John F Kennedy Intl ( KJFK ),Los Angeles Intl ( KLAX ),Wed 07:20PM EDT,Wed 10:10PM PDT
DAL359,A21N,Daniel K Inouye Intl ( PHNL ),Seattle-Tacoma Intl ( KSEA ),Wed 01:00PM HST,Wed 09:15PM PDT
DAL363,B752,San Francisco Int'l ( KSFO ),John F Kennedy Intl ( KJFK ),Wed 04:35PM PDT,Thu 12:36AM EDT
DAL368,A333,Hartsfield-Jackson Intl ( KATL ),Kahului ( OGG / PHOG ),Wed 02:33PM EDT,Wed 05:49PM HST
DAL378,A320,Hartsfield-Jackson Intl ( KATL ),Reagan National ( KDCA ),Wed 09:50PM EDT,Wed 11:01PM EDT
DAL389,A359,Detroit Metro Wayne Co ( KDTW ),Shanghai Pudong Int'l ( PVG / ZSPD ),Wed 11:44AM EDT,Thu 01:31PM CST
DAL39,A359,Los Angeles Intl ( KLAX ),Shanghai Pudong Int'l ( PVG / ZSPD ),Wed 01:39PM PDT,Thu 05:03PM CST
DAL391,B752,Hartsfield-Jackson Intl ( KATL ),Reno/Tahoe Intl ( KRNO ),Wed 08:37PM EDT,Wed 10:12PM PDT
DAL40,A359,Sydney ( SYD / YSSY ),Los Angeles Intl ( KLAX ),Thu 10:00AM AEDT,Thu 05:10AM PDT
DAL408,A21N,Boston Logan Intl ( KBOS ),Harry Reid Intl ( KLAS ),Wed 07:16PM EDT,Wed 09:57PM PDT
DAL417,A321,Hartsfield-Jackson Intl ( KATL ),Harry Reid Intl ( KLAS ),Wed 07:48PM EDT,Wed 08:45PM PDT
DAL419,A21N,Seattle-Tacoma Intl ( KSEA ),Daniel K Inouye Intl ( PHNL ),Wed 05:46PM PDT,Wed 08:33PM HST
DAL42,A359,Sydney ( SYD / YSSY ),Los Angeles Intl ( KLAX ),Thu 01:30PM AEDT,Thu 08:24AM PDT
DAL420,A319,Los Angeles Intl ( KLAX ),Dallas-Fort Worth Intl ( KDFW ),Wed 07:39PM PDT,Thu 12:16AM CDT
DAL424,B739,John F Kennedy Intl ( KJFK ),Denver Intl ( KDEN ),Wed 08:50PM EDT,Wed 10:49PM MDT
DAL427,B763,Daniel K Inouye Intl ( PHNL ),Los Angeles Intl ( KLAX ),Wed 01:15PM HST,Wed 09:08PM PDT
DAL428,B752,Los Angeles Intl ( KLAX ),Lihue ( LIH / PHLI ),Wed 03:53PM PDT,Wed 06:19PM HST
DAL44,B764,John F Kennedy Intl ( KJFK ),Dublin Int'l ( DUB / EIDW ),Wed 10:44PM EDT,Thu 07:59AM GMT
DAL443,B763,Los Angeles Intl ( KLAX ),Daniel K Inouye Intl ( PHNL ),Wed 06:17PM PDT,Wed 08:16PM HST
DAL445,A21N,Boston Logan Intl ( KBOS ),Salt Lake City Intl ( KSLC ),Wed 07:00PM EDT,Wed 09:59PM MDT
DAL449,B738,Nashville Intl ( KBNA ),Los Angeles Intl ( KLAX ),Wed 06:35PM CDT,Wed 08:39PM PDT
DAL453,A321,Hartsfield-Jackson Intl ( KATL ),Salt Lake City Intl ( KSLC ),Wed 10:03PM EDT,Wed 11:49PM MDT
DAL46,A339,John F Kennedy Intl ( KJFK ),Amsterdam Schiphol ( AMS / EHAM ),Wed 06:20PM EDT,Thu 05:30AM CET
